#Z	A	Ea	Eb
78	171	11.36	x
78	172	11.73	x
78	173	12.23	x
78	174	12.39	x
78	175	12.52	x
78	176	12.38	x
78	177	12.48	x
78	178	12.82	x
78	179	13.34	x
78	180	13.78	x
78	181	14.43	x
78	182	14.9	x
78	183	15.46	x
78	184	16.09	x
78	185	16.66	x
78	186	17.06	x
78	187	17.59	x
78	188	17.75	x
78	189	18.26	x
78	190	18.8	x
78	191	19.6	x
78	192	20.08	x
78	193	20.84	x
78	194	21.47	x
78	195	22.26	x
78	196	23.01	x
78	197	23.67	x
78	198	24.54	x
78	199	25.52	x
78	200	26.3	x
78	201	27.06	x
78	202	27.51	x
78	203	28.34	x
78	204	28.5	x
78	205	27.64	x
78	206	26.98	x
78	207	25.77	x
78	208	24.77	x
79	171	10.83	x
79	172	10.94	x
79	173	10.94	x
79	174	10.64	x
79	175	11	x
79	176	11.28	x
79	177	11.07	x
79	178	11.23	x
79	179	11.36	x
79	180	11.83	x
79	181	12.28	x
79	182	12.76	x
79	183	13.2	x
79	184	13.84	x
79	185	14.31	x
79	186	15.03	x
79	187	15.33	x
79	188	16.01	x
79	189	16.57	x
79	190	17.16	x
79	191	17.99	x
79	192	18.87	x
79	193	19.26	x
79	194	19.96	x
79	195	20.54	x
79	196	21.47	x
79	197	22.31	x
79	198	23.16	x
79	199	23.97	x
79	200	25.07	x
79	201	25.78	x
79	202	26.53	x
79	203	27.01	x
79	204	27.95	x
79	205	28.03	x
79	206	27.09	x
79	207	26.36	x
79	208	25.36	x
80	171	10.03	x
80	172	9.81	x
80	173	9.79	x
80	174	9.63	x
80	175	9.77	x
80	176	9.62	x
80	177	9.41	x
80	178	9.32	x
80	179	9.68	x
80	180	9.81	x
80	181	10.27	x
80	182	10.85	x
80	183	11.32	x
80	184	11.92	x
80	185	12.43	x
80	186	12.99	x
80	187	13.5	x
80	188	13.98	x
80	189	14.52	x
80	190	15.22	x
80	191	16.02	x
80	192	16.75	x
80	193	17.56	x
80	194	18.1	x
80	195	18.79	x
80	196	19.65	x
80	197	20.48	x
80	198	21.45	x
80	199	22.24	x
80	200	23.23	x
80	201	24.05	x
80	202	24.79	x
80	203	25.55	x
80	204	26.11	x
80	205	27.09	x
80	206	27.21	x
80	207	26.1	x
80	208	25.51	x
80	209	24.37	x
80	210	23.32	x
80	211	22.17	x
80	212	21.27	x
81	173	9.11	x
81	174	8.96	x
81	175	9.13	x
81	176	9.19	x
81	177	9.04	x
81	178	9.01	x
81	179	8.81	x
81	180	8.65	x
81	181	8.86	x
81	182	8.98	x
81	183	9.49	x
81	184	9.87	x
81	185	10.44	x
81	186	10.97	x
81	187	11.48	x
81	188	12.11	x
81	189	12.74	x
81	190	13.49	x
81	191	14.31	x
81	192	15.13	x
81	193	15.99	x
81	194	16.38	x
81	195	17.08	x
81	196	18.04	x
81	197	18.85	x
81	198	19.73	x
81	199	20.63	x
81	200	21.66	x
81	201	22.23	x
81	202	23.29	x
81	203	24.04	x
81	204	24.8	x
81	205	25.49	x
81	206	26.38	x
81	207	26.5	x
81	208	25.55	x
81	209	24.72	x
81	210	23.55	x
81	211	22.42	x
81	212	21.58	x
81	213	20.79	x
81	214	19.97	x
82	175	7.62	x
82	176	7.58	x
82	177	7.74	x
82	178	7.99	x
82	179	8.15	x
82	180	8.47	x
82	181	8.48	x
82	182	8.62	x
82	183	8.65	x
82	184	8.92	x
82	185	9.12	x
82	186	9.61	x
82	187	9.83	x
82	188	10.32	x
82	189	10.63	x
82	190	11.18	x
82	191	11.68	x
82	192	12.85	x
82	193	13.57	x
82	194	14.5	x
82	195	14.77	x
82	196	15.66	x
82	197	16.36	x
82	198	17.28	x
82	199	18.09	x
82	200	18.89	x
82	201	19.67	x
82	202	20.48	x
82	203	20.91	x
82	204	21.91	x
82	205	23.08	x
82	206	23.94	x
82	207	24.76	x
82	208	24.95	x
82	209	23.97	x
82	210	22.91	x
82	211	21.88	x
82	212	20.77	x
82	213	19.87	x
82	214	19.13	x
82	215	18.43	x
82	216	17.95	x
82	217	17.48	x
82	218	16.83	x
83	178	5.33	x
83	179	5.4	x
83	180	5.69	x
83	181	5.73	x
83	182	6.4	x
83	183	6.53	x
83	184	7.16	x
83	185	7.38	x
83	186	7.75	x
83	187	7.75	x
83	188	8.14	x
83	189	8.6	x
83	190	9.15	x
83	191	9.45	x
83	192	9.99	x
83	193	10.59	x
83	194	11.14	x
83	195	11.79	x
83	196	12.31	x
83	197	13.29	x
83	198	14.23	x
83	199	15.22	x
83	200	16.18	x
83	201	16.99	x
83	202	17.9	x
83	203	18.71	x
83	204	19.59	x
83	205	20.47	x
83	206	21.42	x
83	207	22.28	x
83	208	23.23	x
83	209	23.88	x
83	210	22.74	x
83	211	21.76	x
83	212	20.49	x
83	213	19.17	x
83	214	17.89	x
83	215	16.79	x
83	216	16.05	x
83	217	15.65	x
83	218	15.16	x
84	181	3.89	x
84	182	4.35	x
84	183	4.89	x
84	184	5.49	x
84	185	5.93	x
84	186	6.35	x
84	187	6.64	x
84	188	6.92	x
84	189	7.27	x
84	190	7.55	x
84	191	7.89	x
84	192	8.25	x
84	193	8.66	x
84	194	9.46	x
84	195	9.59	x
84	196	10.29	x
84	197	10.66	x
84	198	11.52	x
84	199	12.37	x
84	200	13.31	x
84	201	14.18	x
