"#  P.Moller et al., PRC91(2015)024310"			
#Z	A	Ea	Eb
51	171	42.476	x
51	172	43.344	x
52	171	41.243	x
52	172	41.732	x
52	173	42.632	x
52	174	43.121	x
52	175	43.867	x
52	176	44.375	x
53	171	40.353	x
53	172	41.419	x
53	173	41.758	x
53	174	42.432	x
53	175	42.683	x
53	176	43.556	x
53	177	43.981	x
53	178	45.53	x
53	179	45.868	x
54	171	38.874	x
54	172	39.499	x
54	173	40.398	x
54	174	40.767	x
54	175	41.43	x
54	176	41.72	x
54	177	42.508	x
54	178	42.937	x
54	179	44.481	x
54	180	44.726	x
54	181	43.463	x
54	182	42.039	x
55	171	38.228	x
55	172	38.95	x
55	173	39.343	x
55	174	40.135	x
55	175	40.445	x
55	176	41.337	x
55	177	41.472	x
55	178	42.307	x
55	179	42.706	x
55	180	44.237	x
55	181	44.505	x
55	182	43.335	x
55	183	42.122	x
55	184	40.773	x
55	185	39.262	x
56	171	36.708	x
56	172	37.217	x
56	173	37.848	x
56	174	38.288	x
56	175	39.144	x
56	176	39.321	x
56	177	40.199	x
56	178	40.389	x
56	179	41.294	x
56	180	41.75	x
56	181	43.233	x
56	182	43.36	x
56	183	42.272	x
56	184	41.253	x
56	185	39.852	x
56	186	38.403	x
56	187	37.679	x
56	188	36.737	x
56	189	36.605	x
57	171	35.639	x
57	172	36.244	x
57	173	36.807	x
57	174	37.358	x
57	175	37.788	x
57	176	38.611	x
57	177	39.04	x
57	178	39.794	x
57	179	40.178	x
57	180	41.013	x
57	181	41.5	x
57	182	42.901	x
57	183	43.203	x
57	184	42.196	x
57	185	40.937	x
57	186	39.769	x
57	187	38.414	x
57	188	37.789	x
57	189	36.975	x
57	190	36.609	x
57	191	35.394	x
57	192	34.277	x
58	171	34.224	x
58	172	34.489	x
58	173	35.202	x
58	174	35.469	x
58	175	36.406	x
58	176	36.761	x
58	177	37.42	x
58	178	37.806	x
58	179	38.624	x
58	180	39.048	x
58	181	39.939	x
58	182	40.588	x
58	183	41.886	x
58	184	42.237	x
58	185	41.23	x
58	186	40.173	x
58	187	38.832	x
58	188	37.534	x
58	189	36.931	x
58	190	36.192	x
58	191	35.722	x
58	192	35.009	x
58	193	34.016	x
58	194	33.09	x
58	195	32.254	x
59	171	33.381	x
59	172	33.745	x
59	173	33.912	x
59	174	34.322	x
59	175	34.611	x
59	176	35.616	x
59	177	36.087	x
59	178	36.765	x
59	179	37.188	x
59	180	38.033	x
59	181	38.503	x
59	182	39.574	x
59	183	40.127	x
59	184	41.465	x
59	185	41.878	x
59	186	40.918	x
59	187	39.729	x
59	188	38.623	x
59	189	37.406	x
59	190	36.979	x
59	191	36.046	x
59	192	35.474	x
59	193	34.503	x
59	194	34.106	x
59	195	33.15	x
59	196	32.539	x
59	197	31.961	x
59	198	31.331	x
60	171	32.652	x
60	172	32.729	x
60	173	32.984	x
60	174	33.239	x
60	175	33.5	x
60	176	33.728	x
60	177	34.544	x
60	178	35.101	x
60	179	35.831	x
60	180	36.017	x
60	181	36.889	x
60	182	37.439	x
60	183	38.507	x
60	184	39.109	x
60	185	40.471	x
60	186	40.857	x
60	187	39.833	x
60	188	38.859	x
60	189	37.605	x
60	190	36.512	x
60	191	35.968	x
60	192	35.021	x
60	193	34.457	x
60	194	33.428	x
60	195	32.648	x
60	196	31.852	x
60	197	32.094	x
60	198	31.608	x
60	199	30.937	x
60	200	30.759	x
60	201	30.585	x
61	171	32.331	x
61	172	32.246	x
61	173	32.252	x
61	174	32.537	x
61	175	32.619	x
61	176	32.908	x
61	177	33.095	x
61	178	33.844	x
61	179	34.27	x
61	180	35.043	x
61	181	35.277	x
61	182	36.403	x
61	183	36.831	x
61	184	37.961	x
61	185	38.614	x
61	186	40.005	x
61	187	40.357	x
61	188	39.422	x
61	189	38.441	x
61	190	37.315	x
61	191	36.275	x
61	192	35.868	x
61	193	34.871	x
61	194	34.232	x
61	195	33.146	x
61	196	32.478	x
61	197	31.89	x
61	198	31.819	x
61	199	31.433	x
61	200	31.146	x
61	201	30.91	x
61	202	30.783	x
61	203	30.739	x
61	204	30.854	x
61	205	30.547	x
62	171	32.27	x
62	172	32.186	x
62	173	31.959	x
62	174	32.036	x
62	175	32.145	x
62	176	32.074	x
62	177	32.502	x
62	178	32.588	x
62	179	33.131	x
62	180	33.701	x
62	181	34.113	x
62	182	34.468	x
62	183	35.411	x
62	184	35.939	x
62	185	36.972	x
62	186	37.623	x
62	187	38.935	x
62	188	39.361	x
62	189	38.367	x
62	190	37.424	x
62	191	36.23	x
62	192	35.282	x
62	193	34.847	x
62	194	33.806	x
62	195	33.158	x
62	196	32.066	x
62	197	31.436	x
62	198	30.998	x
62	199	30.935	x
62	200	30.662	x
62	201	30.518	x
62	202	30.259	x
62	203	30.292	x
62	204	30.334	x
62	205	30.33	x
62	206	30.234	x
62	207	29.957	x
62	208	29.629	x
63	171	32.514	x
63	172	32.609	x
63	173	31.959	x
63	174	31.871	x
63	175	31.621	x
63	176	31.803	x
63	177	31.675	x
63	178	31.976	x
63	179	32.15	x
63	180	32.664	x
63	181	33.006	x
63	182	33.618	x
63	183	34.065	x
63	184	34.931	x
63	185	35.361	x
63	186	36.329	x
63	187	36.899	x
63	188	38.365	x
63	189	38.731	x
63	190	37.746	x
63	191	36.778	x
63	192	35.839	x
63	193	34.824	x
63	194	34.645	x
63	195	33.466	x
63	196	32.851	x
63	197	31.748	x
63	198	31.286	x
63	199	30.834	x
63	200	30.834	x
63	201	30.553	x
63	202	30.501	x
63	203	30.254	x
63	204	30.343	x
63	205	30.368	x
63	206	30.394	x
63	207	30.239	x
63	208	30.044	x
63	209	29.704	x
63	210	29.562	x
63	211	29.366	x
64	171	32.852	x
64	172	32.488	x
64	173	32.326	x
64	174	31.924	x
64	175	31.706	x
64	176	31.469	x
64	177	31.3	x
64	178	31.267	x
64	179	31.724	x
64	180	31.657	x
64	181	32.197	x
64	182	32.593	x
64	183	33.056	x
64	184	33.532	x
64	185	34.133	x
64	186	34.524	x
64	187	35.371	x
64	188	35.913	x
64	189	37.254	x
64	190	37.697	x
64	191	36.641	x
64	192	35.743	x
64	193	34.773	x
64	194	33.841	x
64	195	33.45	x
64	196	32.426	x
64	197	31.797	x
64	198	30.826	x
64	199	30.353	x
64	200	30	x
64	201	29.98	x
64	202	29.816	x
64	203	29.615	x
64	204	29.604	x
64	205	29.446	x
64	206	29.604	x
64	207	29.581	x
64	208	29.577	x
64	209	29.495	x
64	210	29.124	x
64	211	28.997	x
64	212	28.745	x
64	213	28.851	x
64	214	28.688	x
65	171	33.013	x
65	172	32.8	x
65	173	32.596	x
65	174	32.169	x
65	175	31.844	x
65	176	31.405	x
65	177	30.949	x
65	178	30.988	x
65	179	30.906	x
65	180	31.309	x
65	181	31.43	x
65	182	31.923	x
65	183	32.076	x
65	184	32.51	x
65	185	32.939	x
65	186	33.675	x
65	187	33.931	x
65	188	34.784	x
65	189	35.249	x
65	190	36.387	x
65	191	36.97	x
65	192	35.86	x
65	193	34.898	x
65	194	34.118	x
65	195	32.991	x
65	196	32.725	x
65	197	31.765	x
65	198	31.19	x
65	199	30.315	x
65	200	29.994	x
65	201	29.626	x
65	202	29.827	x
65	203	29.597	x
65	204	29.547	x
65	205	29.491	x
65	206	29.395	x
65	207	29.455	x
65	208	29.596	x
65	209	29.548	x
65	210	29.572	x
65	211	29.16	x
65	212	29.074	x
65	213	28.689	x
65	214	28.983	x
65	215	28.72	x
65	216	28.621	x
65	217	28.305	x
65	218	27.838	x
66	171	32.573	x
66	172	31.839	x
66	173	32.345	x
66	174	32.386	x
66	175	31.983	x
66	176	31.553	x
66	177	31.186	x
66	178	30.851	x
66	179	30.649	x
66	180	30.602	x
66	181	31.049	x
66	182	31.008	x
66	183	31.427	x
66	184	31.575	x
66	185	31.994	x
66	186	32.394	x
66	187	32.985	x
