#  Z	A	Bin	Bout
78	223	5.3	30.5
78	224	5.5	31
78	225	5.7	30.5
78	226	6	30.7
78	227	6.6	30.9
78	228	6.1	32.3
78	229	6.6	33
78	230	6.3	33.7
78	231	X	34.2
78	232	X	34.6
78	233	X	34.9
78	234	X	35.8
78	246	5.2	37.7
78	258	14.5	44.2
79	223	4.2	28.8
79	224	4.4	28.2
79	225	4.3	28.7
79	226	4.7	28.3
79	227	5.1	28.6
79	228	4.9	28.3
79	229	5.3	30.2
79	230	5.7	30.8
79	231	5.6	31.7
79	232	X	32.4
79	233	X	32.5
79	234	X	33
79	235	X	33.5
79	236	5.2	33.8
79	246	4.8	36
79	247	5.7	37
79	248	6.2	36
79	258	14.5	41.6
79	259	15.3	43.2
79	260	16.8	44.3
80	198	10.1	27.1
80	223	4.3	25.8
80	224	4.1	27.1
80	225	4.5	26.8
80	226	4.4	26.9
80	227	5	26.6
80	228	3.9	26.8
80	229	4.3	27
80	230	4.9	28.2
80	231	5.4	28.8
80	232	5.2	29.7
80	233	5.8	30.4
80	234	X	30.4
80	235	X	31.1
80	236	X	31.4
80	237	X	31.8
80	238	4.7	31.8
80	246	4.4	33.9
80	247	4.9	34.1
80	248	5.8	35.1
80	249	6.2	34.2
80	250	7.3	35.4
80	258	13.8	39.6
80	259	14.9	40.3
80	260	15.9	42.1
80	261	17.4	43.3
80	262	18	45
81	200	12.2	25.5
81	201	13.5	27.1
81	223	4.6	24.4
81	224	3.2	22.9
81	225	3.4	23.8
81	226	4.1	24.6
81	227	4.2	25
81	228	4.5	24.6
81	229	4.4	24.8
81	230	4.8	24.8
81	231	4.7	26.1
81	232	5.3	26.4
81	233	5	27.3
81	234	5.8	28
81	235	4.5	27.9
81	236	X	28.7
81	237	X	28.9
81	238	X	28.9
81	239	X	28.6
81	240	X	27.6
81	246	4.4	31.3
81	247	5.2	32.5
81	248	5.8	32.7
81	249	6.4	33.8
81	250	6.5	32.4
81	251	7.8	34
81	252	8.6	34
81	258	14.1	37.1
81	259	14.9	38.8
81	260	16.3	39.5
81	261	17.1	41.3
81	262	18.5	42.3
81	263	19	44
81	264	20.5	45.4
82	204	15.7	27.2
82	205	17.1	28.4
82	206	17.8	29.5
82	207	19.5	31.1
82	208	19.7	31.7
82	223	4.7	22
82	224	4.8	23
82	225	3.6	21.5
82	226	3.9	23
82	227	4.1	22.9
82	228	4.3	22.9
82	229	4.8	22.7
82	230	4.6	23.1
82	231	5.2	22.7
82	232	5	23.4
82	233	5.5	24.6
82	234	5.1	25.5
82	235	5.8	25.6
82	236	5.2	26
82	237	5.6	26.6
82	238	4.9	27
82	239	X	26.8
82	240	X	25.9
82	241	X	25.7
82	242	X	26.7
82	246	3	28.1
82	247	3.4	28.1
82	248	4.3	28
82	249	5.3	30.1
82	250	5.8	31.2
82	251	6	30.5
82	252	7.3	32.1
82	253	8.2	32.3
82	254	9.2	33.3
82	258	13	35.1
82	259	14.1	35.6
82	260	15.1	37
82	261	16.3	37.8
82	262	17	39.5
82	263	18.5	40.7
82	264	18.9	42
82	265	20.7	43.9
82	266	21.2	44.5
83	206	16.2	24.9
83	207	16.9	26.1
83	208	18.6	27.4
83	209	18.5	28
83	210	18.5	27.7
83	223	5.2	20.8
83	224	4.2	19.3
83	225	4.1	20.1
83	226	4.1	19.6
83	227	3.1	20.3
83	228	4	20.7
83	229	4.1	20.8
83	230	4.5	20.7
83	231	4.3	20.9
83	232	4.8	20.5
83	233	4.5	21.7
83	234	5.3	22.3
83	235	4.7	22.7
83	236	5	23.1
83	237	4.5	23.3
83	238	5	24.1
83	239	4.6	24.5
83	240	4.8	24.2
83	241	2.5	23.4
83	242	X	23.6
83	243	X	23.7
83	244	2.6	23.5
83	246	X	24.9
83	247	3.2	24.7
83	248	3.6	26
83	249	4.5	25.9
83	250	5.2	26.3
83	251	6.2	29
83	252	6.1	28.2
83	253	7.3	29.7
83	254	8.2	30.3
83	255	9.1	30.9
83	256	10.1	32.5
83	258	11.9	32.5
83	259	12.8	33.2
83	260	13.7	33.3
83	261	14.5	34.4
83	262	15.8	35.4
83	263	16.4	36.9
83	264	18.1	38.1
83	265	18.5	39.5
83	266	20.1	41.4
83	267	20.3	42.1
84	207	14.5	21.2
84	208	15.1	22.2
84	209	16.8	23.9
84	210	17.1	25.5
84	211	16.7	24.2
84	212	14.9	23.6
84	213	14.8	23.4
84	214	13.4	22.5
84	215	12.4	21.6
84	216	11.2	20.9
84	217	10.2	20
84	218	9	19.4
84	219	8	18.5
84	220	7.1	18.3
84	221	5.9	17.2
84	222	5.5	17.6
84	223	3.7	16.6
84	224	3.7	16.8
84	225	4.1	17.4
84	226	3.9	17.8
84	227	4.2	17.9
84	228	3.9	18.7
84	229	4.4	18.9
84	230	4.2	19.2
84	231	4.6	18.6
84	232	4.7	18.9
84	233	5.4	18.8
84	234	4.9	19.9
84	235	5.4	19.3
84	236	5	20.7
84	237	5.3	20.9
84	238	4.8	21.2
84	239	5.4	22
84	240	5.1	22.3
84	241	5	22
84	242	4.5	21.6
84	243	4.7	21.4
84	244	X	21.5
84	245	X	21.3
84	246	5.2	21.5
84	247	X	21.5
84	248	X	22.1
84	249	X	22.3
84	250	6.6	23.5
84	251	7.2	23.8
84	252	X	24.8
84	253	X	25.4
84	254	X	26.9
84	255	X	27.2
84	256	X	28.9
84	257	X	29.5
84	258	X	29.3
84	259	10.8	30
84	260	11.6	30.1
84	261	12.7	30.5
84	262	13.8	31.8
84	263	15	32.2
84	264	15.5	34
84	265	16.8	35.5
84	266	17.3	37.3
84	267	18.9	38.7
84	268	19	39
85	209	14.4	19.9
85	210	16.1	21.6
85	211	16	22
85	212	15.3	20.7
85	213	13.5	19.7
85	214	13.4	20
85	215	12.1	19.3
85	216	11.2	18.4
85	217	9.9	17.7
85	218	8.9	16.9
85	219	7.9	16.3
85	220	6.9	15.5
85	221	6.3	15.4
85	222	5.7	15.1
85	223	5.1	14.9
85	224	4.5	14.8
85	225	4	14.7
85	226	3.8	14.8
85	227	3.8	15.2
85	228	3.9	15.6
85	229	3.9	16.3
85	230	4	16
85	231	4	16.7
85	232	4.8	16.5
85	233	4.7	16.7
85	234	5	17.3
85	235	4.9	17.2
85	236	5.1	17.5
85	237	5	17.8
85	238	5.4	18.4
85	239	4.8	18.6
85	240	5.3	19
85	241	4.9	19.4
85	242	4.5	19.1
85	243	4.3	19.1
85	244	4.4	18.9
85	245	X	19.1
85	246	5	19.2
85	247	5	19.6
85	248	4.8	19.5
85	249	X	19.7
85	250	X	20.2
85	251	X	21.2
85	252	7.1	21.6
85	253	7.5	22.5
85	254	X	22.9
85	255	X	24.4
85	256	X	25.2
85	257	X	26.4
85	258	11.3	26.2
85	259	11.8	27
85	260	X	27.4
85	261	11.2	28.1
85	262	12.1	28.2
85	263	13	29.1
85	264	14.1	29.8
85	265	14.7	31.2
85	266	15.8	32.3
85	267	16.4	34
85	268	17.9	35.6
85	269	18.1	36.3
86	216	10.1	15.2
86	217	9.9	15.4
86	218	8.7	14.8
86	219	7.7	13.9
86	220	6.7	13.4
86	221	5.8	12.8
86	222	5.1	12.7
86	223	4.7	12.6
86	224	4.3	12.2
86	225	4.2	12.2
86	226	3.9	12.1
86	227	3.9	12.2
86	228	3.8	12.8
86	229	4.1	13.4
86	230	4.1	13.8
86	231	4.4	14.2
86	232	4.4	14.7
86	233	4.9	15.2
86	234	4.9	16.3
86	235	5.2	15.1
86	236	5	16.2
86	237	5.4	15.7
86	238	5	16.3
86	239	5	16.4
86	240	4.8	16.6
86	241	5.2	17.3
86	242	4.7	17.1
86	243	5.1	16.8
86	244	4.4	16.9
86	245	4.6	16.9
86	246	4.7	17.1
86	247	5	17.1
86	248	4.9	17.5
86	249	5.2	17.9
86	250	4.9	17.7
86	251	5.3	18.1
86	252	5.8	18.7
86	253	6.5	19.5
86	254	7.1	20
86	255	6.9	20.4
86	256	8.1	21.5
86	257	8.7	23.4
86	258	9.9	23.8
86	259	10.7	24.6
86	260	11.1	24.5
86	261	11.8	25.3
86	262	12.2	25.8
86	263	12.7	24.8
86	264	13.6	26.7
86	265	13	27.2
86	266	13.6	28.5
86	267	14.9	29.7
86	268	15.4	31.5
86	269	16.7	32.9
86	270	16.9	33.5
87	210	11.3	14.1
87	211	11.8	14.9
87	212	13.7	17.1
87	213	13.3	17.1
87	214	13.3	17.3
87	215	11.6	15.9
87	216	10.9	15.4
87	217	9.5	14.5
87	218	8.6	13.8
87	219	7.4	13
87	220	6.5	12.4
87	221	5.9	12.3
87	222	5.4	12
87	223	4.9	11.8
87	224	4.6	12
87	225	4.5	10.4
87	226	4.3	10.4
87	227	3.8	10.4
87	228	3.9	10.4
87	229	3.7	10.4
87	230	4.2	10.8
87	231	4.1	11.1
87	232	4.6	11.5
87	233	4.6	12
87	234	4.9	12.4
87	235	4.9	13
87	236	5.4	13.5
87	237	5	14.5
87	238	5.2	14.5
87	239	4.9	14
87	240	5.2	13.9
87	241	4.7	14.1
87	242	5.2	14.4
87	243	4.6	14.5
87	244	4.9	14.4
87	245	4.4	14.6
87	246	4.9	14.4
87	247	4.6	14.7
87	248	4.8	15.5
87	249	4.7	15.1
87	250	4.6	16
87	251	4.7	16.4
87	252	4.9	15.8
87	253	5.1	17.2
87	254	5.9	17.5
87	255	5.8	18.3
87	256	6.2	18.5
87	257	7.5	18.9
87	258	7.7	19.3
87	259	8.7	21.6
87	260	9.4	21.8
87	261	9.9	23
87	262	10.9	22.9
87	263	11.1	23.4
87	264	11.7	22.2
87	265	12.2	23.6
87	266	12.2	23.5
87	267	12.7	26.2
87	268	13.9	26.9
87	269	14.3	28.6
87	270	15.9	30.1
87	271	15.9	30.9
88	222	6	9.3
88	223	5.7	9.3
88	224	5.1	9.1
88	225	4.5	9
88	226	4.1	8.8
88	227	3.8	8.9
88	228	3.6	9
88	229	4	9.4
88	230	3.9	9.2
88	231	4.4	9.5
88	232	4.5	9.5
88	233	4.9	9.4
88	234	4.8	9.7
88	235	5.4	9.9
88	236	5.2	10
88	237	5.5	10.9
88	238	5.3	11.2
88	239	5.7	11.4
88	240	5.1	12.7
88	241	5.3	12.5
88	242	5	12.5
88	243	5.3	12.1
88	244	5	12.3
88	245	5.1	12.4
88	246	4.7	12.4
88	247	4.6	12.6
88	248	4.7	12.8
88	249	4.9	12.2
88	250	4.6	14.1
88	251	4.6	13.6
88	252	4.5	14.4
88	253	4.7	14.4
88	254	4.9	14.1
88	255	5.3	15.1
88	256	5.7	15.9
88	257	6.1	15.9
88	258	6.9	16.1
88	259	7.5	16.6
88	260	8.6	19.3
88	261	9.5	20.3
88	262	9.6	20.2
88	263	10.4	20.9
88	264	11	21.1
88	265	11.6	22.1
88	266	11.9	21.2
88	267	12.5	21.2
88	268	11.8	23.7
88	269	13.1	24.4
88	270	13.4	26
88	271	14.7	27.4
88	272	14.9	28.5
89	218	7.6	8.6
89	219	6.8	8.1
89	220	6.8	7.9
89	221	5.8	7.5
89	222	6.4	8.1
89	223	5.2	7.1
89	224	5.4	8.2
89	225	5	8
89	226	4.4	7.9
89	227	4.1	7.7
89	228	4	8.1
89	229	3.8	8
89	230	4	8.1
89	231	4.1	8.3
89	232	4.8	8.6
89	233	4.6	8.5
89	234	5	8.8
89	235	5	8.7
89	236	5.6	9.2
89	237	5.3	9.3
89	238	5.9	9.7
89	239	5.3	9.7
89	240	5.7	9.7
89	241	5.4	9.9
89	242	5.8	10.8
89	243	5	9.9
89	244	5.3	10.8
89	245	4.7	9.8
89	246	4.9	11
89	247	4.3	9.7
89	248	5	9.6
89	249	4.4	9.5
89	250	4.3	9.9
89	251	4.4	12
89	252	4.7	10
