#Z	A	Ea	Eb
80	196	X	16.9
80	198	X	16.6
80	199	X	18.2
80	200	X	17.7
81	200	X	22.8
81	201	X	23.1
82	204	X	23.5
82	205	X	24.6
82	206	X	25.3
82	207	X	27
82	208	X	27.4
83	206	X	22.4
83	207	X	22.8
83	208	X	23.8
83	209	X	24.3
83	210	X	24.3
84	207	X	19.3
84	208	X	19.9
84	209	X	21.1
84	210	X	21.2
84	211	X	20.6
84	212	X	19.6
85	212	X	18.6
85	213	X	17.3
86	216	X	13.5
88	225	X	7.6
88	226	X	8.5
88	227	X	8.2
88	228	X	8
89	226	X	7.8
89	227	X	7.4
89	228	X	7.1
90	230	6.1	6.8
90	231	6	6.7
90	232	5.8	6.7
90	233	5.1	6.65
91	230	5.6	5.8
91	231	5.5	5.5
91	232	5	6.4
91	233	5.7	5.8
91	234	6.3	6.15
92	231	4.4	5.5
92	232	4.9	5.4
92	233	4.35	5.55
92	234	4.8	5.5
92	235	5.25	6
92	236	5	5.67
92	237	6.4	6.15
92	238	6.3	5.5
92	239	6.45	6
93	236	5.9	5.4
93	237	6	5.4
93	238	6.5	5.75
94	237	5.1	5.15
94	238	5.6	5.1
94	239	6.2	5.7
94	240	6.05	5.15
94	241	6.15	5.5
94	242	5.85	5.05
94	243	6.05	5.45
94	244	5.7	4.85
94	245	5.85	5.25
95	239	6	5.4
95	240	6.1	6
95	241	6	5.35
95	242	6.32	5.78
95	243	6.4	5.05
95	244	6.25	5.9
96	241	7.15	5.5
96	242	6.65	5
96	243	6.33	5.4
96	244	6.18	5.1
96	245	6.35	5.45
96	246	6	4.8
96	247	6.12	5.1
96	248	5.8	4.8
96	249	5.63	4.95
