The data in this file are taken from the following reference:
     CRC Handbook of Chemistry and Physics,
     62nd Edition, CRC Press, Inc.,
     Ed. Robert C. Weast
     pages B-2 to B-48
=============================================================
   Z(target)  A(target) density(g/cm3)
       1      1.00790   8.98800e-05
       2      4.00260   0.000178500
       3      6.94100      0.534000
       4      9.01218       1.84800
       5      10.8100       2.37000
       6      12.0110       2.20000
       7      14.0067    0.00125060
       8      15.9999    0.00142900
       9      18.9984    0.00169600
      10      20.1790   0.000899900
      11      22.9898      0.971000
      12      24.3050       1.73800
      13      26.9815       2.69890
      14      28.0855       2.33000
      15      30.9738       2.69000
      16      32.0600       2.07000
      17      35.4530    0.00321400
      18      39.9480    0.00178370
      19      39.0983      0.862000
      20      40.0800       1.55000
      21      44.9559       2.98900
      22      47.9000       4.54000
      23      50.9415       6.11000
      24      51.9960       7.19000
      25      54.9380       7.30000
      26      55.8470       7.87400
      27      58.9332       8.90000
      28      58.7100       8.90200
      29      63.5460       8.96000
      30      65.3800       7.13300
      31      69.7370       5.90400
      32      72.5900       5.32300
      33      74.9216       5.73000
      34      78.9600       4.79000
      35      79.9040       3.12000
      36      83.8000    0.00373300
      37      85.4678       1.53200
      38      87.6200       2.54000
      39      88.9059       4.46900
      40      91.2200       6.50600
      41      92.9064       8.57000
      42      95.9400       10.2200
      43      98.9062       11.5000
      44      101.070       12.4100
      45      102.906       12.4100
      46      106.400       12.0200
      47      107.868       10.5000
      48      112.410       8.65000
      49      114.820       7.31000
      50      118.690       7.31000
      51      121.750       6.69100
      52      127.600       6.24000
      53      126.905       4.93000
      54      131.300    0.00588700
      55      132.905       1.87300
      56      137.330       3.50000
      57      138.906       6.14500
      58      140.120       6.65700
      59      140.908       6.77300
      60      144.240       7.00700
      61      147.000       7.22000
      62      150.400       7.52000
      63      151.960       5.24300
      64      157.250       7.90040
      65      158.925       8.22900
      66      162.500       8.55000
      67      164.930       8.79500
      68      167.260       9.06600
      69      168.934       9.32100
      70      173.040       6.96500
      71      174.967       9.84000
      72      178.490       13.3100
      73      180.948       16.6540
      74      183.850       19.3000
      75      186.200       21.0200
      76      190.200       22.5700
      77      192.220       22.4200
      78      195.090       21.4500
      79      196.967       19.3200
      80      200.590       13.5460
      81      204.370       11.8500
      82      207.200       11.3500
      83      208.980       9.74700
      84      209.000       9.32000
      85      210.000       0.00000
      86      222.000    0.00973000
      87      223.000       0.00000
      88      226.025       5.00000
      89      227.000       10.0700
      90      232.038       11.7200
      91      231.036       15.3700
      92      238.029       18.9500
